State/ UT,District/ Area,Total Crimes against Women,Crime_Probability,District_Score,Normalized_Score
Haryana,Panipat,446.0,0.023607876349777682,5970.0,0.023025478443986763
Haryana,Rewari,332.0,0.017573576116874868,4523.0,0.017444596147764176
Haryana,Rohtak,751.0,0.03975227609570189,10958.0,0.042263516380101666
Haryana,Sirsa,342.0,0.018102900698708447,4456.0,0.017186186255679234
Haryana,Sonipat,427.0,0.022602159644293882,5606.0,0.021621579925793936
Haryana,Yamunanagar,551.0,0.029165784459030276,8323.0,0.032100679579447546
Haryana,Irrigation & Power,0.0,0.0,0.0,0.0
Haryana,Total District(s),9446.0,0.5,129639.0,0.5
Himachal Pradesh,Baddi,56.0,0.021722265321955005,814.0,0.021102296883911444
Himachal Pradesh,Bilaspur,113.0,0.04383242823894492,1674.0,0.0433971068595427
Himachal Pradesh,Chamba,88.0,0.03413498836307215,1420.0,0.036812360657437655
Himachal Pradesh,C. I. D.,0.0,0.0,0.0,0.0
Himachal Pradesh,G. R. P.,0.0,0.0,0.0,0.0
Himachal Pradesh,Hamirpur,78.0,0.030256012412723042,1104.0,0.02862031420127547
Himachal Pradesh,Kangra,230.0,0.08921644685802949,3407.0,0.08832374138020428
Himachal Pradesh,Kinnaur,20.0,0.007757951900698216,336.0,0.008710530409083839
Himachal Pradesh,Kullu,71.0,0.027540729247478666,1104.0,0.02862031420127547
Himachal Pradesh,Lahaul & Spiti,4.0,0.0015515903801396431,70.0,0.0018146938352257998
Himachal Pradesh,Mandi,189.0,0.07331264546159814,2868.0,0.07435059884896562
Himachal Pradesh,Shimla,144.0,0.055857253685027156,2150.0,0.05573702493907814
Himachal Pradesh,Sirmaur,127.0,0.04926299456943367,1962.0,0.05086327578161456
Himachal Pradesh,Solan,52.0,0.02017067494181536,764.0,0.0198060870016073
Himachal Pradesh,Una,117.0,0.04538401861908456,1614.0,0.041841655000777724
Himachal Pradesh,Total District(s),1289.0,0.5,19287.0,0.5
Jammu & Kashmir,Anantnag,258.0,0.0383586083853702,3942.0,0.038749631377174874
Jammu & Kashmir,Awantipora,61.0,0.009069283377936367,966.0,0.009495723975228547
Jammu & Kashmir,Bandipora,85.0,0.01263752601843592,1292.0,0.012700285068318096
Jammu & Kashmir,Baramulla,198.0,0.029438001784121322,2971.0,0.02920475769192962
